,dokument,RAG QUERY,informasjonsbehov,fra dokumentet,tekst_som_i_hendelse
7,8,"personer med tilgang (eier, leietaker, besøkende osv) til åstedet (boligen, adressen)",Hvem har tilknytning til åstedet / gjerningsadressen?,"Huset inneholder en rekke rom som på gjerningstidspunktet ble utleid til arbeidstakere fra forskjellige østeuropeiske land. I første etasje var det bl a fire soverom, hvorav tre var i bruk. C og A bodde på det ene rommet i første etasje. I andre etasje var det tre soverom.",inneholder en rekke rom som på gjerningstidspunktet ble utleid til arbeidstakere fra forskjellige østeuropeiske land; C og A bodde på det ene rommet i første etasje.
15,16,"personer med tilgang (eier, leietaker, besøkende osv) til åstedet (boligen, adressen)",Hvem har tilknytning til åstedet / gjerningsadressen?,Det vesentligste av blodforekomstene som ble registrert av politiet ble funnet inne på det soverommet der tiltalte C og tiltalte A bodde. Det var der synlige fottøyavtrykk i væte/skitt og blod. Politiet mener at avdøde er blitt påført gjentatte stikkskader sannsynligvis på gulvet i forkant av sengen i soverommet. Det vises til vitneforklaringene fra politibetjent Bente Endal Angeltvedt og politioverbetjent Per Tharaldsen., soverommet der tiltalte C og tiltalte A bodde
24,25,"personer med tilgang (eier, leietaker, besøkende osv) til åstedet (boligen, adressen)",Hvem har tilknytning til åstedet / gjerningsadressen?,"Fra soverommet hvor C og A bodde via lite rom/spiskammers, gangen og videre ut på verandaen ble det funnet en rekke blodforekomster. Blodet stammer fra avdøde. Politiet mener dette betyr at avdøde er blitt båret eller slept ut og deretter fraktet fra verandaen til funnstedet i hagen.",Fra soverommet hvor C og A bodde 
26,27,"personer med tilgang (eier, leietaker, besøkende osv) til åstedet (boligen, adressen)",Hvem har tilknytning til åstedet / gjerningsadressen?,Tiltalte C og tiltalte A bodde i huset på det aktuelle tidspunktet. De leide det rommet hvor politiet mener at avdøde ble stukket med en saks. Avdøde var på besøk i huset den aktuelle kvelden/natten.,Tiltalte C og tiltalte A bodde i huset på det aktuelle tidspunktet; De leide det rommet hvor politiet mener at avdøde ble stukket med en saks
69,70,"personer med tilgang (eier, leietaker, besøkende osv) til åstedet (boligen, adressen)",Hvem har tilknytning til åstedet / gjerningsadressen?,"Tiltalte C kom til Norge for ca fem år siden, for å arbeide for firmaet F AS. På det tidspunktet som er angitt i tiltalen leide C husrom gjennom F i [adresse]. A bodde på samme rom som C. Tiltalte B sov på rommet over garasjen.", som er angitt i tiltalen leide C husrom gjennom F i [adresse]. A bodde på samme rom som C. Tiltalte B sov på rommet over garasjen.
70,71,"personer med tilgang (eier, leietaker, besøkende osv) til åstedet (boligen, adressen)",Hvem har tilknytning til åstedet / gjerningsadressen?,"C forklarte at han på et tidspunkt nærmest plukket B opp fra gaten, og ga ham husly da han ikke hadde annet sted å bo. Det var avdøde som introduserte B for C. Tiltalte C ble kjent med avdøde i huset i [adresse]. Avdøde hadde tidligere bodd i huset, men bodde der ikke på det tidspunktet som er angitt i tiltalebeslutningen.","C forklarte at han på et tidspunkt nærmest plukket B opp fra gaten, og ga ham husly; Avdøde hadde tidligere bodd i huset, men bodde der ikke på det tidspunktet som er angitt i tiltalebeslutningen."
71,72,"personer med tilgang (eier, leietaker, besøkende osv) til åstedet (boligen, adressen)",Hvem har tilknytning til åstedet / gjerningsadressen?,"Tiltalte C og tiltalte A møtte hverandre på et barnehjem under oppveksten. De var begge blitt foreldreløse. A var nærmeste klassekamerat med Cs bror. C sendte bud etter A i mai 2013. Bakgrunnen for dette var at C ønsket å hjelpe A med å få arbeid. A hadde ektefelle og fem barn i Latvia som han skulle forsørge. Det var vanskelig å få arbeid i Latvia, C ønsket derfor å hjelpe A. Da A kom til Norge i mai 2013 flyttet han inn i [adresse] til C.",Da A kom til Norge i mai 2013 flyttet han inn i [adresse] til C.
75,76,"personer med tilgang (eier, leietaker, besøkende osv) til åstedet (boligen, adressen)",Hvem har tilknytning til åstedet / gjerningsadressen?,"C hadde ikke vært på arbeid den 6. november 2013. Mest sannsynlig hadde heller ikke A vært på arbeid, selv om han var noe usikker på dette. Avdøde E var den som kom først på besøk til A og C. I følge C kom B ca 1,5 timer etter at E var kommet. A tilberedte og laget maten de skulle spise. Han var derfor noe til og fra mellom soverommet og kjøkkenet. I følge A var avdøde beruset da han kom til dem.","Avdøde E var den som kom først på besøk til A og C. I følge C kom B ca 1,5 timer etter at E var kommet. A tilberedte og laget maten de skulle spise. Han var derfor noe til og fra mellom soverommet og kjøkkenet. I følge A var avdøde beruset da han kom til dem."
79,80,"personer med tilgang (eier, leietaker, besøkende osv) til åstedet (boligen, adressen)",Hvem har tilknytning til åstedet / gjerningsadressen?,"A forklarte at han etter dette sprang ut, og forlot huset. Han undersøkte ikke hvordan det sto til med E før han forlot rommet. Han snakket ikke med noen før han forlot huset. Han dro til parken ved Tveitevannet og var der til klokken 0600 om morgenen. A forklarte i retten at ikke visste hva han skulle gjøre. Han gikk frem og tilbake i parken. Han kontaktet imidlertid ikke noen. Frykten hindret ham fra dette. Han snakker kun russisk og latvisk, og han følte seg maktesløs. Han dro ikke tilbake til huset før ca klokken 0700 om morgenen. Han hadde ikke lyst til å gå inn igjen i huset. Han håpet at stikkene ikke hadde ført til at E hadde avgått ved døden.","A forklarte at han etter dette sprang ut, og forlot huset."
80,81,"personer med tilgang (eier, leietaker, besøkende osv) til åstedet (boligen, adressen)",Hvem har tilknytning til åstedet / gjerningsadressen?,"Døren inn til rommet var lukket da A kom tilbake til huset. Han åpnet døren til rommet og kunne se at avdøde lå på gulvet i en sovende posisjon. Han lå med ansiktet vendt ned i gulvet. A trodde avdøde lå i samme posisjon som da A forlot huset. B lå og sov på sofaen. A forklarte at det var blod under avdøde, men han kunne ikke si om E fortsatt var i live eller om han var død. For A fremsto det slik at B og avdøde sov."," A trodde avdøde lå i samme posisjon som da A forlot huset. B lå og sov på sofaen. A forklarte at det var blod under avdøde, men han kunne ikke si om E fortsatt var i live eller om han var død. For A fremsto det slik at B og avdøde sov"
